id,title,tags
15533174,statmodels regression plots not working with pandas datatypes,python|pandas|statsmodels
15670482,Creating a large database from many files with pandas,python|database|numpy|pandas
15864710,How can I check if the values in a series are contained in any of the intervals defined the rows of a DataFrame ,pandas|vectorization
15891921,minimize rows with common values add columns for additional values,python|numpy|pandas
15661821,How to visualize continuous time spent in a location in pandas ,python|pandas|data-analysis
15778371,read csv convert date in 3 columns to 1 column date format like YYYY MM DD using pandas in Python,python-2.7|numpy|pandas
15795353,Getting CDF of variable sized numpy arrays in Python using same bins ,python|numpy|scipy|pandas|statsmodels
15708434,Fill a Pandas dataframe using information from another Pandas dataframe,python|python-2.7|dataframe|pandas
15551102,Reading data from csv file into time series with pandas,python|python-2.7|pandas|time-series
15832445,Cannot seem to install pandas for python 2 7 on windows,python|windows|install|pandas|installation
15825981,How to accumulate unique sum of columns across pandas index,python|numpy|pandas
16017034,To extract non nan values from multiple rows in a pandas dataframe,python|python-2.7|numpy|dataframe|pandas
15489011,Python time series alignment and to date functions,python|date|alignment|pandas|time-series
15580234,pandas plot time series numpy ndarray object has no attribute find ,python|matplotlib|pandas
15856213,What is the equivalent to R s match for python Pandas numpy ,python|r|merge|pandas|match
15581829,how to perform an inner or outer join of DataFrames with Pandas on non simplistic criterion,python|sql|numpy|pandas
15753916,Get dot product of dataframe with vector and return dataframe in Pandas,python|pandas|dataframe|dot-product
15724034,How to convert Wikipedia wikitable to Python Pandas DataFrame ,python|parsing|pandas|wiki|wikipedia
15588713,sheets of Excel Workbook from a URL into a pandas DataFrame ,python|url|pandas|xlrd
15541440,How to apply custom column order on Categorical to pandas boxplot ,python|pandas|boxplot|categorical-data
15930885,Converting irregularly time stamped measurements into equally spaced time weighted averages,python|pandas|time-series
15910019,Annotate data points while plotting from Pandas DataFrame,matplotlib|pandas
15741759,Find maximum value of a column and return the corresponding row values using Pandas,python|pandas|dataframe|max
16031056,How to form tuple column from two columns in Pandas,python|dataframe|pandas|tuples
15998188,How can I obtain the element wise logical NOT of a pandas Series ,python|pandas|boolean-logic
15705630,Get the Row s which have the max count in groups using groupby,python|pandas|max|pandas-groupby
17774271,New column based on conditional selection from the values of 2 other columns in a Pandas DataFrame,python|pandas|python-3.3
17758023,return rows in a dataframe closest to a user defined number,python|python-2.7|pandas
18199288,Getting the integer index of a Pandas DataFrame row fulfilling a condition ,python|numpy|pandas
18171739,UnicodeDecodeError when reading CSV file in Pandas with Python,python|pandas|csv|dataframe|unicode
17702272,Convert Pandas series containing string to boolean,python|pandas|boolean|type-conversion|series
18003214,How to selectively multiply or add columns in pandas DataFrame ,python-2.7|lambda|pandas|generator|dataframe
17977540,Pandas Looking up the list of sheets in an excel file,python|excel|pandas|openpyxl|xlrd
17839973,Constructing pandas DataFrame from values in variables gives ValueError If using all scalar values you must pass an index ,python|pandas|dataframe|scalar
17688155,Complicated for me reshaping from wide to long in Pandas,python|pandas|reshape
17682613,How to convert a pandas DataFrame subset of columns AND rows into a numpy array ,python|arrays|numpy|pandas|scikit-learn
17812978,How to plot two columns of a pandas data frame using points ,python|matplotlib|plot|pandas|dataframe
18096748,Pandas Dataframes to html Highlighting table rows,python|html|pandas
18159675,Python pandas change duplicate timestamp to unique,python|duplicates|pandas
17778394,List Highest Correlation Pairs from a Large Correlation Matrix in Pandas ,python|pandas|correlation
18079563,Finding the intersection between two series in Pandas,python|pandas|series|intersection
18012505,python pandas dataframe columns convert to dict key and value,python|pandas|dataframe|dictionary|data-conversion
17910173,can not pass pandas Series to pyplot s fill between function ,python|matplotlib|pandas
17818783,Populate a Pandas SparseDataFrame from a SciPy Sparse Matrix,python|numpy|scipy|pandas|sparse-matrix
18084662,Deleting rows of daylight saving time from a time indexed pandas dataframe,python|pandas|timestamp|time-series
17709270,I want to create a column of value counts in my pandas dataframe,python|merge|pandas
17836105,Finding rows in Pandas Data Frame with Same Values,python|pandas|dataframe|pandas-groupby
17969878,Why does testing NaN NaN not work for dropping from a pandas dataFrame ,python|pandas|dataframe|nan
17978009,ReshapeError while trying to pivot pandas dataframe,python-2.7|pandas|pivot
17690738,In Pandas how do I convert a string of date strings to datetime objects and put them in a DataFrame ,python|datetime|pandas
18176933,Create an empty data frame with index from another data frame,python|indexing|pandas
17972938,check if string in pandas dataframe column is in list,python|python-2.7|pandas
18034361,How to split a dataframe column into multiple columns,python|csv|pandas|dataframe
17748570,Conditional formatting for 2 or 3 scale coloring of cells of a table,python|numpy|matplotlib|pandas
17805304,How can I load data from mongodb collection into pandas DataFrame ,mongodb|pandas|pymongo
17921010,How to query MultiIndex index columns values in pandas,python|pandas|indexing|slice|multi-index
17926273,How to count distinct values in a column of a pandas group by object ,python|group-by|pandas
17950374,Converting a column within pandas dataframe from int to string,python|string|pandas|dataframe|int
18005305,implementing R scale function in pandas in Python ,python|numpy|pandas
18002070,Interpolating a large dataframe onto a sparse irregular index,python|pandas|interpolation
17834995,How to convert OpenDocument spreadsheets to a pandas DataFrame ,python|pandas|libreoffice|dataframe|opendocument
18195231,How to read and plot time series data files as candlestick chart ,python|matplotlib|pandas|time-series
18082594,Converting date and time string to appropriate format for arithmetic calculations,python|datetime|pandas
17853392,fastest way to read a table2 for each value of a table1 with Python ,python|pandas|matching
18173753,Merging dataframes in Pandas throws AssertionError cannot create BlockManager ref locs ,python|merge|pandas
17933282,Using numpy genfromtxt to read a csv file with strings containing commas,python|numpy|pandas|genfromtxt
18107953,How to create a large pandas dataframe from an sql query without running out of memory ,python|sql|pandas|bigdata
18016037,Pandas ParserError EOF character when reading multiple csv files to HDF5,python|csv|python-3.x|pandas|hdf5
18098061,Change the ticklabel orientation and legend position of plot,python|matplotlib|pandas
